cases,date
1,2020-03-17
1,2020-03-18
1,2020-03-19
2,2020-03-20
2,2020-03-21
1,2020-03-22
1,2020-03-23
2,2020-03-24
4,2020-03-25
4,2020-03-26
9,2020-03-27
14,2020-03-28
16,2020-03-29
21,2020-03-30
21,2020-03-31
23,2020-04-01
23,2020-04-02
26,2020-04-03
26,2020-04-04
23,2020-04-05
26,2020-04-06
28,2020-04-07
30,2020-04-08
30,2020-04-09
30,2020-04-10
29,2020-04-11
30,2020-04-12
29,2020-04-13
28,2020-04-14
25,2020-04-15
23,2020-04-16
24,2020-04-17
26,2020-04-18
28,2020-04-19
32,2020-04-20
31,2020-04-21
33,2020-04-22
38,2020-04-23
40,2020-04-24
37,2020-04-25
31,2020-04-26
29,2020-04-27
27,2020-04-28
26,2020-04-29
30,2020-04-30
24,2020-05-01
27,2020-05-02
30,2020-05-03
28,2020-05-04
25,2020-05-05
25,2020-05-06
25,2020-05-07
22,2020-05-08
23,2020-05-09
24,2020-05-10
21,2020-05-11
31,2020-05-12
36,2020-05-13
37,2020-05-14
46,2020-05-15
40,2020-05-16
37,2020-05-17
42,2020-05-18
48,2020-05-19
50,2020-05-20
56,2020-05-21
58,2020-05-22
61,2020-05-23
62,2020-05-24
63,2020-05-25
63,2020-05-26
63,2020-05-27
60,2020-05-28
55,2020-05-29
50,2020-05-30
53,2020-05-31
53,2020-06-01
60,2020-06-02
58,2020-06-03
57,2020-06-04
58,2020-06-05
59,2020-06-06
51,2020-06-07
55,2020-06-08
52,2020-06-09
53,2020-06-10
52,2020-06-11
56,2020-06-12
54,2020-06-13
52,2020-06-14
50,2020-06-15
53,2020-06-16
51,2020-06-17
51,2020-06-18
53,2020-06-19
53,2020-06-20
51,2020-06-21
48,2020-06-22
49,2020-06-23
46,2020-06-24
46,2020-06-25
39,2020-06-26
48,2020-06-27
52,2020-06-28
47,2020-06-29
44,2020-06-30
49,2020-07-01
55,2020-07-02
53,2020-07-03
56,2020-07-04
58,2020-07-05
57,2020-07-06
56,2020-07-07
56,2020-07-08
65,2020-07-09
66,2020-07-10
67,2020-07-11
76,2020-07-12
76,2020-07-13
76,2020-07-14
67,2020-07-15
63,2020-07-16
52,2020-07-17
54,2020-07-18
61,2020-07-19
67,2020-07-20
78,2020-07-21
69,2020-07-22
69,2020-07-23
64,2020-07-24
61,2020-07-25
64,2020-07-26
58,2020-07-27
62,2020-07-28
66,2020-07-29
66,2020-07-30
63,2020-07-31
61,2020-08-01
55,2020-08-02
55,2020-08-03
49,2020-08-04
43,2020-08-05
50,2020-08-06
53,2020-08-07
48,2020-08-08
51,2020-08-09
56,2020-08-10
50,2020-08-11
47,2020-08-12
50,2020-08-13
51,2020-08-14
59,2020-08-15
56,2020-08-16
61,2020-08-17
58,2020-08-18
57,2020-08-19
57,2020-08-20
64,2020-08-21
64,2020-08-22
62,2020-08-23
64,2020-08-24
59,2020-08-25
54,2020-08-26
53,2020-08-27
52,2020-08-28
46,2020-08-29
46,2020-08-30
48,2020-08-31
51,2020-09-01
49,2020-09-02
54,2020-09-03
54,2020-09-04
52,2020-09-05
56,2020-09-06
48,2020-09-07
43,2020-09-08
41,2020-09-09
38,2020-09-10
35,2020-09-11
35,2020-09-12
40,2020-09-13
47,2020-09-14
52,2020-09-15
46,2020-09-16
46,2020-09-17
45,2020-09-18
41,2020-09-19
39,2020-09-20
38,2020-09-21
43,2020-09-22
50,2020-09-23
59,2020-09-24
63,2020-09-25
63,2020-09-26
59,2020-09-27
55,2020-09-28
57,2020-09-29
59,2020-09-30
59,2020-10-01
54,2020-10-02
61,2020-10-03
60,2020-10-04
63,2020-10-05
63,2020-10-06
59,2020-10-07
59,2020-10-08
65,2020-10-09
69,2020-10-10
72,2020-10-11
70,2020-10-12
70,2020-10-13
69,2020-10-14
72,2020-10-15
87,2020-10-16
84,2020-10-17
86,2020-10-18
87,2020-10-19
86,2020-10-20
77,2020-10-21
78,2020-10-22
76,2020-10-23
77,2020-10-24
78,2020-10-25
82,2020-10-26
84,2020-10-27
77,2020-10-28
78,2020-10-29
79,2020-10-30
79,2020-10-31
71,2020-11-01
76,2020-11-02
76,2020-11-03
78,2020-11-04
85,2020-11-05
97,2020-11-06
100,2020-11-07
104,2020-11-08
108,2020-11-09
110,2020-11-10
107,2020-11-11
104,2020-11-12
106,2020-11-13
106,2020-11-14
102,2020-11-15
109,2020-11-16
118,2020-11-17
120,2020-11-18
133,2020-11-19
142,2020-11-20
142,2020-11-21
145,2020-11-22
148,2020-11-23
147,2020-11-24
136,2020-11-25
151,2020-11-26
145,2020-11-27
144,2020-11-28
144,2020-11-29
154,2020-11-30
151,2020-12-01
153,2020-12-02
168,2020-12-03
167,2020-12-04
171,2020-12-05
173,2020-12-06
175,2020-12-07
180,2020-12-08
185,2020-12-09
198,2020-12-10
200,2020-12-11
207,2020-12-12
194,2020-12-13
202,2020-12-14
214,2020-12-15
207,2020-12-16
201,2020-12-17
210,2020-12-18
214,2020-12-19
211,2020-12-20
211,2020-12-21
201,2020-12-22
196,2020-12-23
200,2020-12-24
208,2020-12-25
212,2020-12-26
227,2020-12-27
224,2020-12-28
215,2020-12-29
226,2020-12-30
242,2020-12-31
247,2021-01-01
255,2021-01-02
268,2021-01-03
277,2021-01-04
268,2021-01-05
280,2021-01-06
284,2021-01-07
275,2021-01-08
273,2021-01-09
282,2021-01-10
286,2021-01-11
288,2021-01-12
287,2021-01-13
265,2021-01-14
268,2021-01-15
270,2021-01-16
273,2021-01-17
276,2021-01-18
267,2021-01-19
254,2021-01-20
247,2021-01-21
237,2021-01-22
229,2021-01-23
232,2021-01-24
229,2021-01-25
228,2021-01-26
220,2021-01-27
219,2021-01-28
212,2021-01-29
193,2021-01-30
196,2021-01-31
182,2021-02-01
181,2021-02-02
184,2021-02-03
169,2021-02-04
164,2021-02-05
149,2021-02-06
152,2021-02-07
141,2021-02-08
142,2021-02-09
148,2021-02-10
153,2021-02-11
134,2021-02-12
131,2021-02-13
124,2021-02-14
118,2021-02-15
126,2021-02-16
126,2021-02-17
129,2021-02-18
120,2021-02-19
114,2021-02-20
95,2021-02-21
93,2021-02-22
91,2021-02-23
86,2021-02-24
94,2021-02-25
96,2021-02-26
90,2021-02-27
98,2021-02-28
90,2021-03-01
85,2021-03-02
81,2021-03-03
80,2021-03-04
78,2021-03-05
71,2021-03-06
72,2021-03-07
72,2021-03-08
71,2021-03-09
67,2021-03-10
61,2021-03-11
60,2021-03-12
61,2021-03-13
62,2021-03-14
68,2021-03-15
66,2021-03-16
69,2021-03-17
73,2021-03-18
72,2021-03-19
69,2021-03-20
63,2021-03-21
66,2021-03-22
68,2021-03-23
70,2021-03-24
60,2021-03-25
64,2021-03-26
67,2021-03-27
66,2021-03-28
70,2021-03-29
69,2021-03-30
64,2021-03-31
64,2021-04-01
62,2021-04-02
60,2021-04-03
58,2021-04-04
62,2021-04-05
65,2021-04-06
68,2021-04-07
64,2021-04-08
71,2021-04-09
68,2021-04-10
72,2021-04-11
71,2021-04-12
69,2021-04-13
63,2021-04-14
57,2021-04-15
55,2021-04-16
55,2021-04-17
51,2021-04-18
53,2021-04-19
55,2021-04-20
49,2021-04-21
49,2021-04-22
50,2021-04-23
53,2021-04-24
54,2021-04-25
57,2021-04-26
63,2021-04-27
64,2021-04-28
63,2021-04-29
61,2021-04-30
64,2021-05-01
61,2021-05-02
56,2021-05-03
54,2021-05-04
54,2021-05-05
52,2021-05-06
49,2021-05-07
46,2021-05-08
50,2021-05-09
47,2021-05-10
53,2021-05-11
57,2021-05-12
49,2021-05-13
44,2021-05-14
44,2021-05-15
49,2021-05-16
44,2021-05-17
48,2021-05-18
57,2021-05-19
51,2021-05-20
49,2021-05-21
38,2021-05-22
32,2021-05-23
29,2021-05-24
32,2021-05-25
32,2021-05-26
33,2021-05-27
35,2021-05-28
29,2021-05-29
28,2021-05-30
32,2021-05-31
33,2021-06-01
29,2021-06-02
29,2021-06-03
26,2021-06-04
26,2021-06-05
23,2021-06-06
25,2021-06-07
25,2021-06-08
25,2021-06-09
24,2021-06-10
23,2021-06-11
19,2021-06-12
18,2021-06-13
20,2021-06-14
20,2021-06-15
23,2021-06-16
22,2021-06-17
21,2021-06-18
20,2021-06-19
21,2021-06-20
21,2021-06-21
24,2021-06-22
24,2021-06-23
22,2021-06-24
20,2021-06-25
17,2021-06-26
14,2021-06-27
13,2021-06-28
10,2021-06-29
10,2021-06-30
8,2021-07-01
7,2021-07-02
7,2021-07-03
9,2021-07-04
8,2021-07-05
9,2021-07-06
12,2021-07-07
12,2021-07-08
13,2021-07-09
12,2021-07-10
14,2021-07-11
12,2021-07-12
12,2021-07-13
14,2021-07-14
19,2021-07-15
22,2021-07-16
24,2021-07-17
24,2021-07-18
29,2021-07-19
29,2021-07-20
27,2021-07-21
25,2021-07-22
21,2021-07-23
23,2021-07-24
24,2021-07-25
28,2021-07-26
35,2021-07-27
38,2021-07-28
44,2021-07-29
52,2021-07-30
54,2021-07-31
54,2021-08-01
60,2021-08-02
58,2021-08-03
59,2021-08-04
69,2021-08-05
74,2021-08-06
89,2021-08-07
86,2021-08-08
91,2021-08-09
95,2021-08-10
101,2021-08-11
99,2021-08-12
114,2021-08-13
116,2021-08-14
130,2021-08-15
130,2021-08-16
137,2021-08-17
142,2021-08-18
145,2021-08-19
143,2021-08-20
151,2021-08-21
158,2021-08-22
150,2021-08-23
160,2021-08-24
159,2021-08-25
154,2021-08-26
153,2021-08-27
146,2021-08-28
152,2021-08-29
158,2021-08-30
154,2021-08-31
159,2021-09-01
168,2021-09-02
171,2021-09-03
173,2021-09-04
180,2021-09-05
182,2021-09-06
179,2021-09-07
185,2021-09-08
174,2021-09-09
174,2021-09-10
178,2021-09-11
174,2021-09-12
175,2021-09-13
174,2021-09-14
171,2021-09-15
170,2021-09-16
166,2021-09-17
154,2021-09-18
158,2021-09-19
158,2021-09-20
168,2021-09-21
160,2021-09-22
165,2021-09-23
164,2021-09-24
163,2021-09-25
154,2021-09-26
168,2021-09-27
163,2021-09-28
164,2021-09-29
167,2021-09-30
163,2021-10-01
163,2021-10-02
157,2021-10-03
153,2021-10-04
144,2021-10-05
125,2021-10-06
131,2021-10-07
128,2021-10-08
127,2021-10-09
126,2021-10-10
119,2021-10-11
118,2021-10-12
113,2021-10-13
112,2021-10-14
111,2021-10-15
118,2021-10-16
110,2021-10-17
103,2021-10-18
96,2021-10-19
92,2021-10-20
96,2021-10-21
98,2021-10-22
94,2021-10-23
88,2021-10-24
85,2021-10-25
84,2021-10-26
80,2021-10-27
80,2021-10-28
80,2021-10-29
70,2021-10-30
66,2021-10-31
64,2021-11-01
62,2021-11-02
62,2021-11-03
65,2021-11-04
60,2021-11-05
56,2021-11-06
59,2021-11-07
58,2021-11-08
68,2021-11-09
58,2021-11-10
63,2021-11-11
62,2021-11-12
61,2021-11-13
63,2021-11-14
60,2021-11-15
58,2021-11-16
57,2021-11-17
58,2021-11-18
57,2021-11-19
61,2021-11-20
59,2021-11-21
62,2021-11-22
59,2021-11-23
60,2021-11-24
62,2021-11-25
66,2021-11-26
